,Price,Title,Subtitle,Discount_rate,Item Location,Refurbished,No of Watchers
1,399.00 to 519.00,Apple iPhone 12 64GB 128GB 256GB Unlocked All Colours - Good,15% with CODE AUG15. Ends 04/01. Max Discount £60.,0%,UK,Refurbished,12+ sold
2,336.42,Apple iPhone XS Max - 256GB - Silver (Unlocked),Pre-owned,0%,UK,N/A,0
3,269.95 to 319.95,Apple iPhone 11 - 64GB 128GB 256GB - Unlocked Smartphone Good Condition Warranty,FREE RETURNS - FAST FREE DELIVERY - 12 MONTH WARRANTY,0%,UK,Refurbished,264+ sold
4,269.95 to 319.95,Apple iPhone 11 64GB 128GB Unlocked All Colours Good Condition,12 Month Warranty - Same Day Dispatch Order By 2pm,0%,UK,Refurbished,153+ sold
5,320.00,Apple iPhone 11 Pro Max - 64GB - Space Grey (Unlocked),Pre-owned,0%,UK,N/A,0
6,529.99 to 604.99,"NEW SEALED Apple iPhone 12 6.1"" 5G 64GB Mobile unlocked WITH 1 YEAR WARRANTY",✅SEALED BOX ✅ 5 FREE ITEMS ✅ CHEAPEST ON EBAY✅NEXT DAY,0%,UK,N/A,0
7,381.07,Apple iPhone 12 64GB 128GB 256GB - Unlocked - All Colors - GOOD CONDITION,12 MONTHS WARRANTY | UNLOCKED | TOP UK SELLER,0%,UK,N/A,0
8,320.00,Apple iPhone 11 Pro Max - 64GB - Space Grey (Unlocked) A2218 (CDMA + GSM),Pre-owned,0%,UK,N/A,0
9,459.99 to 539.99,NEW SEALED Apple iPhone 11 Pro 64GB 256GB 512GB Unlocked Smartphone 1 YEAR WTY,✅SEALED BOX ✅ 5 FREE ITEMS ✅ CHEAPEST ON EBAY✅NEXT DAY,0%,UK,N/A,0
10,329.00 to 499.00,Apple iPhone 11 Pro 64GB 256GB 512GB Unlocked - With Accessories - Good,15% with CODE AUG15. Ends 04/01. Max Discount £60.,0%,UK,Refurbished,37+ sold
11,300.00,New listingApple iPhone 11 Pro - 64GB - Silver (Unlocked) A2215 (CDMA + GSM),Pre-owned,0%,UK,N/A,0
12,399.99 to 489.99,NEW Sealed Apple iPhone 11 - 64GB 128GB 256GB - Unlocked Smartphone all Colours,✅SEALED BOX ✅ 5 FREE ITEMS ✅ CHEAPEST ON EBAY✅NEXT DAY,0%,UK,N/A,0
